,type,total_timesteps,num_episodes,episode_timesteps,train_episode_reward,train_episode_timesteps,train_reward,train_predicted_reward,reward_pearsonr,actor_loss,critic_loss,discriminator_loss
0,train,17,1,17,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,train,84,2,67,-13.601,8.500,-1.505,0.528,0.000,-2.127,1.578,1.481
2,train,151,3,67,-8.823,28.000,-0.559,0.726,0.000,-2.997,0.700,1.699
3,train,387,4,236,-13.049,37.750,-0.462,0.771,0.000,-3.312,0.490,1.761
4,train,406,5,19,-22.438,77.400,-0.357,0.822,0.000,-3.953,0.265,1.815
5,train,500,6,94,-17.948,67.667,-0.353,0.821,0.000,-3.996,0.256,1.816
6,train,591,7,91,-19.760,71.429,-0.340,0.830,0.000,-4.202,0.225,1.820
7,train,604,8,13,-20.891,73.875,-0.331,0.829,0.000,-4.389,0.207,1.823
8,train,617,9,13,-20.040,67.111,-0.330,0.828,0.000,-4.417,0.204,1.824
9,train,786,10,169,-18.213,61.700,-0.329,0.828,0.000,-4.444,0.202,1.823
10,train,801,11,15,-30.524,71.455,-0.348,0.821,0.000,-4.777,0.181,1.821
11,train,847,12,46,-29.398,66.750,-0.350,0.820,0.000,-4.808,0.178,1.821
12,train,904,13,57,-28.301,65.154,-0.353,0.812,0.000,-4.890,0.176,1.818
13,train,964,14,60,-29.566,64.571,-0.360,0.806,0.000,-4.998,0.173,1.814
14,train,1015,15,51,-27.428,64.267,-0.364,0.796,0.000,-5.104,0.169,1.810
15,train,1056,16,41,-25.152,63.438,-0.347,0.793,0.000,-5.198,0.143,1.813
16,train,1104,17,48,-23.790,62.118,-0.347,0.791,0.000,-5.276,0.119,1.814
17,train,1137,18,33,-23.149,61.333,-0.349,0.783,0.000,-5.361,0.111,1.809
18,train,1171,19,34,-22.530,59.842,-0.350,0.774,0.000,-5.419,0.110,1.804
19,train,1225,20,54,-20.928,58.550,-0.351,0.764,0.000,-5.477,0.104,1.798
20,train,1251,21,26,-20.968,58.333,-0.355,0.746,0.000,-5.569,0.103,1.787
21,train,1298,22,47,-21.190,56.864,-0.357,0.738,0.000,-5.613,0.104,1.782
22,train,1332,23,34,-20.983,56.435,-0.360,0.725,0.000,-5.695,0.108,1.774
23,train,1357,24,25,-21.784,55.500,-0.364,0.716,0.000,-5.754,0.110,1.769
24,train,2357,25,1000,-21.459,54.280,-0.366,0.709,0.000,-5.798,0.112,1.764
25,train,2486,26,129,-35.167,90.654,-0.383,0.502,0.000,-7.878,0.153,1.659
26,train,2679,27,193,-34.919,92.074,-0.382,0.504,0.000,-8.281,0.141,1.657
27,train,2708,28,29,-38.239,95.679,-0.384,0.505,0.000,-8.879,0.151,1.647
28,train,2757,29,49,-37.184,93.379,-0.384,0.506,0.000,-8.972,0.153,1.648
29,train,2794,30,37,-36.237,91.900,-0.383,0.503,0.000,-9.123,0.158,1.648
